number,title,group_name,subgroup_name
1,"Alleluja, chwalcie Pana","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
2,"Barankowi chwałę, cześć","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
3,"Bądź Panu cześć","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
4,"Boże wielki, pełnyś chwał","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
5,"Chcę o Jezusie moim śpiewać","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
6,"Barankowi cześć","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
7,"Chciejmy Zbawcę wielbić szczerze","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
8,"Chwalże, ma duszo, Mocarza","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
9,"Chwałę daj Panu, o duszo moja","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
10,"Czego chcesz od nas, Panie","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
11,"Dajcie Panu chwałę","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
12,"Dziękujmy Bogu wraz","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
13,"Jezusowi chcę śpiewać ku chwale","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
14,"Gdybym języków miał tysiące","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
15,"Gdy na ten świat","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
16,"Królu niebios","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
17,"O, Panu bądź cześć","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
18,"Pan dobry jest","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
19,"Panu wszyscy zaśpiewajcie","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
20,"Pan Zastępów godzien chwały","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
21,"Przekrasny Jezu, wszego świata Królu","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
22,"Uwielbiam miłość niepojętą","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
23,"Strójcie, wierni, harfy wasze","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
24,"Święty, Święty, Święty","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
25,"Z żądnością czekałem na Pana","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
26,"Wielbijmy Ojca pieniem chwał","I. Bóg Trójjedyny","1. Chwała i dziękczynienie"
27,"Przyjdź, Zbawienie pogan, przyjdź","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
28,"Jak mam powitać Ciebie","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
29,"Jak pięknie lśni jutrzenki blask","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
30,"Nadchodził, zbliżał się","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
31,"Podnieścież się, wy wierzchy bram!","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
32,"Czas radości, wesołości","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
33,"Aniołowie z niebios nucą chwały śpiew","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
34,"Chwalcie Boga, o chrześcijanie","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
35,"Chwała Bogu, chwała w górze","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
36,"Cicha noc","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
37,"Dziateczki, dziateczki","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
38,"Gałązka drobna, wątła z Jessego trysła pnia","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
39,"Niebo wykrzykuj!","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
40,"O, błogosławiony","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
41,"O, szczęśliwa noc","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
42,"Pośpieszcie, o wierni","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
43,"Strójcie się, o gwiazdy, chwałą","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
44,"W żłobie leży","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
45,"Wznieście Bogu chwały pienia","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
46,"Znam wieść prześliczną, dawną wieść","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
47,"Z niebieskich wyżyn schodzę dziś","I. Bóg Trójjedyny","2. Adwent i narodzenie Jezusa"
48,"Cóżeś uczynił, Jezusie kochany","I. Bóg Trójjedyny","3. Śmierć, zmartwychwstanie i wniebowstąpienie Jezusa"
